Company Name,Company Website,Description,Media Spend (M)
"Jessica McClintock, Inc.",www.jessicamcclintock.com,perfume & clothing,Less than $750K
Jewel-Osco,www.jewelosco.com,grocery & drug stores,Less than $750K
Jewelry Television,www.jewelrytelevision.com,online & television jewelry store,Less than $750K
Jimlar Corporation,www.jimlar.com,footwear,Less than $750K
"Jordache Limited, Inc.",www.jordache.com,"sportswear, jeans, & accessories",Less than $750K
"Jostens, Inc.",www.jostens.com,"class rings, caps & gowns ",Less than $750K
JSSI,www.lugz.com,athletic footwear,Less than $750K
Junonia Ltd.,www.junonia.com,plus-sized women's apparel retailer,Less than $750K
Justin Brands,www.justinbrands.com,"western boots, footwear",Less than $750K
"K-Swiss, Inc.",www.kswiss.com,fitness footwear,Less than $750K
"K-VA-T Food Stores, Inc.",www.foodcity.com,supermarkets ,Less than $750K
K2 Sports,www.k2sports.com,outdoor apparel & accessories ,Less than $750K
"Karmaloop, LLC",www.karmaloop.com,online apparel retailer,Less than $750K
"KAVU, Inc.",www.kavu.com,outdoor clothing,Less than $750K
Kayser - Roth Corporation ,www.kayser-roth.com,hosiery & socks,Less than $750K
"Keen, Inc.",www.keenfootwear.com,footwear,Less than $750K
Kellwood Company,www.kellwood.com,apparel manufacturer,Less than $750K
"Kelly-Moore Paint Company, Inc.",www.kellymoore.com,paint manufacturer & retailer,Less than $750K
"Kemistre Eight, LLC",www.akademiks.com,apparel & accessories,Less than $750K
"Kerr Drug, Inc.",www.kerrdrug.com,drug stores,Less than $750K
"Key Food Stores Cooperative, Inc.",www.keyfood.com,grocery stores,Less than $750K
"Kid Brands, Inc.",www.kidbrandsinc.com,infant & juvenile products,Less than $750K
"King Soopers, Inc.",www.kingsoopers.com,grocery stores,Less than $750K
KJUS USA,www.kjus.com,sports apparel,Less than $750K
Krause Gentle Corporation,www.kumandgo.com,convenience stores,Less than $750K
"Kwik Shop, Inc.",www.kwikshop.com,convenience store chain,Less than $750K
L'Amy America,www.lamygroup.com,sunglasses & prescription eyewear,Less than $750K
"L.A. Gear, Inc.",www.lagear.com,apparel,Less than $750K
La Curacao,www.lacuracao.net,department stores,Less than $750K
"La Jolla Group, Inc.",www.lajollagroup.com,surf apparel,Less than $750K
"LaCrosse Footwear, Inc.",www.lacrossefootwear.com,footwear,Less than $750K
Lands' End Business Outfitters,www.landsend.com,branded corporate apparel,Less than $750K
"Lands' End, Inc.",www.landsend.com,family apparel,Less than $750K
LAT Sportswear,www.latsportswear.com,accessories,Less than $750K
Lazare Kaplan International Inc.,www.lazarediamonds.com,diamond jewelry,Less than $750K
Levi Strauss & Company,www.levistrauss.com,jeans & sportswear,Less than $750K
LifeWay Christian Resources,www.lifeway.com,"Christian stores, publishing",Less than $750K
Lillian Vernon Corporation,www.lillianvernon.com,mail-order retailer,Less than $750K
Lilly Pulitzer,www.lillypulitzer.com,women's apparel,Less than $750K
Liquidation Channel,www.liquidationchannel.com/,jewelry auction website & show,Less than $750K
"Little Caesar Enterprises, Inc.",www.ilitchholdings.com,quick serve restaurant,Less than $750K
LMC Right Start,www.rightstart.com,infant & children's products,Less than $750K
Loehmann's ,www.loehmanns.com,discount clothing stores,Less than $750K
"Longworth Industries, Inc.",www.polarmax.com,apparel manufacturer ,Less than $750K
"Lowes Food Stores, Inc.",www.lowesfoods.com,grocery store chain,Less than $750K
LT Apparel Group,www.ltapparel.com,infant & children's apparel,Less than $750K
"Lucchese Boot Company, Inc.",www.lucchese.com,western boots,Less than $750K
"lucy activewear, Inc.",www.lucy.com,women's sportswear,Less than $750K
"M.J. Soffe Company, Inc.",www.soffe.com,sportswear,Less than $750K
Mac-Gray Corporation,www.mac-gray.com,coin-operated washers & dryers,Less than $750K
"Maidenform Brands, Inc.",www.maidenform.com,bras & panties,Less than $750K
"Mamiye Brothers, Inc.",www.mamiye.com,children's & teen apparel,Less than $750K
"Man-dell Food Stores, Inc.",none (7/09),supermarkets,Less than $750K
Marc Ecko Enterprises,www.marceckoenterprises.com,urban wear clothing,Less than $750K
"Marsh Supermarkets, Inc.",www.marsh.net,grocery store chain,Less than $750K
"Marware, Inc.",www.marware.com,accessories,Less than $750K
"Maui Jim, Inc.",www.mauijim.com,polarized sunglasses,Less than $750K
Maurices,www.maurices.com/,women's fashion retailer,Less than $750K
"Mavi Jeans, Inc.",www.mavi.com,jeans,Less than $750K
MC Sports,www.mcsports.com,retail sports stores,Less than $750K
McCoy Corporation ,www.mccoys.com,building supply centers,Less than $750K
McNett Corporation,www.mcnett-outdoor.com,outdoor specialty products & sporting goods,Less than $750K
"Medicine Shoppe International, Inc.",www.medshoppe.com,drug stores,Less than $750K
"MexGrocer.com, LLC",www.mexgrocer.com,online grocery store,Less than $750K
Micro Electronics,www.microelectronics.com,"computer stores, mail-order ",Less than $750K
Mitchell & Ness ,www.mitchellandness.com,sports wear,Less than $750K
"Mizuno Sports USA, Inc.",www.mizunousa.com,sporting equipment & apparel manufacturer,Less than $750K
Modnique.com,www.modnique.com/,apparel & accessories,Less than $750K
Moonstruck Chocolate Company,www.moonstruckchocolate.com,chocolate candy stores,Less than $750K
"Moosejaw Mountaineering & Backcountry Travel, Inc. ",www.moosejaw.com,sporting goods,Less than $750K
"mophie, Inc.",www.mophie.com,mobile technology cases & accessories,Less than $750K
Mori Luggage & Gifts,www.moriluggage.com,luggage retailer,Less than $750K
Mountain Gear,www.mgear.com,outdoor clothing & gear,Less than $750K
"Mountain Hardwear, Inc.",www.mountainhardwear.com,outdoor apparel & accessories,Less than $750K
"Mounted Memories, Inc.",www.dreamscorp.com,sports memorabilia,Less than $750K
"Munro & Company, Inc.",www.munroshoe.com,shoes,Less than $750K
Murphy Oil Corporation,www.murphyoilcorp.com,energy industry,Less than $750K
Musicnotes Inc.,www.musicnotes.com,online sheet music retailer,Less than $750K
MZ Berger / Elgin Watch Co.,www.mzb.com,watches,Less than $750K
Nash Finch Company,www.nashfinch.com,grocery wholesaler & retailer,Less than $750K
"Nasty Gal, Inc.",www.nastygal.com/index.cfm,online women's clothing,Less than $750K
National Association of College Stores,www.nacs.org,association of college stores,Less than $750K
"NCI Building Systems, Inc.",www.ncilp.com,metal building systems,Less than $750K
Neill Corporation,www.neill.net,manufactures hair care products & manages concept salons,Less than $750K
Neiman Marcus Direct,www.neimanmarcus.com,catalog division,Less than $750K
New England Footwear,www.newenglandfootwear.com,shoe manufacturer,Less than $750K
"New Horizons Computer Learning Centers, Inc.",www.newhorizons.com,computer training centers,Less than $750K
"Niemann Foods, Inc.",www.freshtraditions.com,grocery stores,Less than $750K
"Nine West Group, Inc.",www.ninewest.com,women's shoes,Less than $750K
"Nixon USA, Inc.",www.nixonnow.com,watches & accessories,Less than $750K
"Nordstrom Direct, Inc. ",www.nordstrom.com,department store online,Less than $750K
"Norm Thompson Outfitters, Inc.",www.normthompson.com,apparel catalogs,Less than $750K
North Carolina Mutual Drug Company,www.mutualdrug.com,drug stores,Less than $750K
NuStar Energy Corporation,www.nustarenergy.com,"oil refining, convenience stores",Less than $750K
Ocean Pacific Apparel Corporation,www.op.com,beach wear  & accessories,Less than $750K
Oliver Peoples,www.oliverpeoples.com,upscale designer eyeglasses,Less than $750K
"Oneida, Ltd.",www.oneida.com,"dinnerware, flatware, crystal, cookware",Less than $750K
Ontel Products Corporation,www.ontelproducts.com/index.html,as-seen-on tv products,Less than $750K
OpenSky,www.opensky.com,social network for shopping,Less than $750K
"OptiCare Health Systems, Inc.",www.opticare.com,eye care centers,Less than $750K
"Orchard Supply Hardware, Inc.",www.osh.com,hardware supply stores,Less than $750K
Orrefors,www.orrefors.us,art products,Less than $750K
"OshKosh B'Gosh, Inc.",www.oshkoshbgosh.com,children's clothing & accessories,Less than $750K
OtterBox,www.otterbox.com,mobile technology cases & accessories,Less than $750K
Outdoor Recreation Group,www.outdoorproducts.com,outdoor products,Less than $750K
"Oxford Industries, Inc.",www.oxfordinc.com,clothing manufacturer,Less than $750K
"Pantry, Inc.",www.thepantry.com,convenience store chain,Less than $750K
Park Seed Company,www.parkseed.com,mail order gardening,Less than $750K
"PCM, Inc.",www.pcm.com,PC & MAC equipment,Less than $750K
"PeaPod, LLC",www.peapod.com,online grocery service,Less than $750K
Pearl Izumi,www.pearlizumi.com,clothing,Less than $750K
"Pelle Pelle, Inc.",www.pellepellemb.com,leather jackets & sportswear,Less than $750K
"Pendleton Woolen Mills, Inc. ",www.pendleton-usa.com,apparel,Less than $750K
"Penn Racquet Sports, Inc.",www.pennracquet.com,tennis & racquetball balls,Less than $750K
"PetEdge, Inc.",www.petedge.com,pet care supplies,Less than $750K
"Petland, Inc.",www.petland.com,pet stores,Less than $750K
"Phoenix Footwear Group, Inc.",www.phoenixfootwear.com,shoe manufacturer,Less than $750K
Piggly Wiggly Midwest,www.shopthepig.com,supermarkets,Less than $750K
"Play N Trade Franchise, Inc.",www.playntrade.com,video game franchise,Less than $750K
PLV Studio Inc,www.pourlavictoire.com/,specialty retailer,Less than $750K
"Portero, Inc.",www.portero.com,Online luxury goods shopping platform,Less than $750K
Prada New York,www.prada.com,upscale clothing & couturier,Less than $750K
"Premier International Holdings, Inc.",www.gopremier.com,convenience store products,Less than $750K
Price Chopper,www.pricechopper.com,supermarket,Less than $750K
"PriceSmart, Inc.",www.pricesmart.com,general merchandise stores,Less than $750K
"Prince Sports, Inc.",www.princesports.com,athletic equipment,Less than $750K
"QST Industries, Inc.",www.qst.com,clothing components,Less than $750K
"Quik Stop Markets, Inc.",www.quikstop.com,convenience stores,Less than $750K
R.G. Barry Corporation,www.rgbarry.com,footwear,Less than $750K
"Rack Room Shoes, Inc.",www.rackroomshoes.com,retail shoe stores,Less than $750K
Rainbow Apparel Companies,www.rainbowshops.com,family apparel stores,Less than $750K
"Rakuten.com, Inc.",www.rakuten.com,on-line retailer,Less than $750K
"Randa Accessories, LLC",www.randa.net,accessories & leather goods,Less than $750K
"Rawlings Sporting Goods Company, Inc.",www.rawlings.com,athletic equipment,Less than $750K
Raymond Weil Geneve,www.raymond-weil.com,upscale watches,Less than $750K
Rebecca Minkoff LLC,www.rebeccaminkoff.com/,fashion apparel,Less than $750K
"Red Apple Group, Inc.",www.gristedes.com,"oil, supermarkets, convenience stores",Less than $750K
Reef Americas,www.reef.com,surf apparel,Less than $750K
"Refinery29, Inc.",www.refinery29.com,online shopping,Less than $750K
Renfro Corporation,www.renfro.com,apparel manufacturer,Less than $750K
ReStockIt.com,www.restockit.com,online discount retailer,Less than $750K
Retail Brand Alliance,,men's apparel,Less than $750K
Richline Group,www.richlinegroup.com,fine jewelry manufacturer,Less than $750K
Robert Wayne Footwear,www.robertwayne.com,shoe retailer,Less than $750K
Robinson Luggage,www.luggageonline.com,online retailer of luggage,Less than $750K
"Rocawear, Inc.",www.rocawear.com,urban clothing,Less than $750K
Rocket Dog Brands LLC,www.rocketdog.com,women's footwear,Less than $750K
Rocky Brands,www.rockybrands.com/,"boots, shoes",Less than $750K
Rocky Mountain Clothing Company,www.rockymountainclothing.com,western wear,Less than $750K
Rodda Paint Company,www.roddapaint.com,paint,Less than $750K
Rooster Group,www.roostergroup.com,leather goods & tool belts,Less than $750K
"rue21, Inc.",www.rue21.com,teen apparel retailer,Less than $750K
Russell Corporation,www.russell-brands.com,sports clothing,Less than $750K
Ryderz Compound,www.nofear.com,sports equipment & clothing,Less than $750K
Safariland,www.safariland.com,"security systems, bullet resistant vests, backpacks",Less than $750K
Safeway Genuardi's,www.genuardis.com,supermarkets,Less than $750K
"Safilo USA, Inc.",www.safilousa.com,Luxury eyewear manufacturer and licenser,Less than $750K
Saker Shop-rite,www.shoprite.com,supermarket chain,Less than $750K
Sam Ash Music Corporation,www.samashmusic.com,musical instruments & electronics,Less than $750K
Sam's Club,www.samsclub.com,warehouse superstore,Less than $750K
"Samuels Jewelers, Inc.",www.samuelsjewelers.com,retail jewelry stores,Less than $750K
Sanuk,www.sanuk.com,footwear,Less than $750K
Savannah Luggage Works,www.savannahluggage.com,luggage,Less than $750K
Scott Sports USA,www.garmontusa.com,ski and outdoor apparel,Less than $750K
SCP Pool Corporation,www.poolcorp.com,swimming pool supplies,Less than $750K
"Sean John Clothing, Inc.",www.seanjohn.com,clothing,Less than $750K
Seiko Corporation of America,www.seikousa.com,"consumer time-pieces, watches, clocks",Less than $750K
Selective Eyewear Elements,www.seeeyewear.com,retail optics chain,Less than $750K
Serta International,www.serta.com,mattresses & home furnishings,Less than $750K
Shane Company,www.shaneco.com,jewelry,Less than $750K
"Shaw's Supermarkets, Inc.",www.shaws.com,grocery stores,Less than $750K
Shell Oil Products U.S.,www.shell.com,petroleum products,Less than $750K
"Shop 'N Save Foods, Inc.",www.shopnsave.com,warehouse stores,Less than $750K
Shoppers Food Warehouse Corp.,www.shoppersfood.com,discount food stores,Less than $750K
"Showa-Best Glove, Inc.",www.showabestglove.com,disposable gloves,Less than $750K
"Shreve, Crump & Low",www.shrevecrumplow.com,"diamonds, gems, and silver",Less than $750K
"Simon Property Group, Inc.",www.simon.com,own & manage malls,Less than $750K
Simply Shops,www.simplyretailinc.com,healthcare retail,Less than $750K
"Sir Speedy, Inc.",www.sirspeedy.com,retail printer,Less than $750K
skinnyCorp LLC,www.skinnycorp.com,T-shirts,Less than $750K
SmartBargains.com,www.smartbargains.com,discounted online shopping retailer,Less than $750K
SmartWool,www.smartwool.com,sports apparel,Less than $750K
Snapfish,www.snapfish.com,online photo service,Less than $750K
Sneaker Villa,www.sneakervilla.com,apparel & shoe retailer,Less than $750K
Sofft Shoe Company / Dexter Shoe Company,www.sofftshoes.com,women's footwear,Less than $750K
Sole Technology,www.soletechnology.com,footwear & clothing,Less than $750K
"Southern Tide, LLC",www.southerntide.com,apparel,Less than $750K
"SouthPole, Inc.",www.southpole-usa.com,apparel,Less than $750K
Soy Basics,www.soybasics.com,soy candles,Less than $750K
Speck Products,www.speckproducts.com,carrying case manufacturer,Less than $750K
"Spencer Gifts, LLC",www.spencersonline.com/,novelty retailer,Less than $750K
"Sportsman's Guide, Inc. ",www.sportsmansguide.com,athletic apparel & equipment,Less than $750K
Spy Optics,www.spyoptic.com,sunglasses & goggles,Less than $750K
"Spyder Active Sports, Inc.",www.spyder.com,outdoor sports apparel,Less than $750K
"St. John Knits International, Inc.",www.sjk.com,women's apparel,Less than $750K
Staples Promotional Products,www.staplespromotionalproducts.com,caps & shirts,Less than $750K
Stella & Dot,www.stelladot.com,jewelry & accessories,Less than $750K
"Sterling Jewelers, Inc.",www.sterlingjewelers.com,jewelry stores,Less than $750K
Stewart's Shops Corporation,www.stewartsshops.com,convenience shops,Less than $750K
"Stuart Weitzman, LLC",www.stuartweitzman.com,leather goods,Less than $750K
Sun & Skin Care Research,www.opotion.com,skin products,Less than $750K
Sunrise Brands,www.tags.com,private-label casual apparel,Less than $750K
Superdry,www.superdry.com,apparel & fashion,Less than $750K
Susser Holdings Corporation,www.susser.com,"convenience stores, gas stations",Less than $750K
"Sutherland Lumber Company, LP",www.sutherlands.com,home improvement retailer,Less than $750K
"Swank, Inc.",www.swankinc.com,fashion accessories,Less than $750K
"Swarovski North America, Ltd.",www.swarovski.com,fine silver & crystal ,Less than $750K
Sweetbay Supermarkets,www.sweetbaysupermarket.com,grocery chain,Less than $750K
"Systemax, Inc.",www.systemax.com,computers & accessories,Less than $750K
"TABcom, LLC",www.tabcom.com/,pet supplies,Less than $750K
"Tandy Brands Accessories, Inc.",www.tandybrands.com,leather goods & accessories,Less than $750K
"Tandy Leather Factory, Inc. ",www.tandyleatherfactory.com,accessories & leather goods,Less than $750K
TARA,www.tarapearls.com,fine jewelry,Less than $750K
"Targus, Inc.",www.targus.com,laptop computer cases & accessories,Less than $750K
"Tasti D-Lite, LLC",www.tastidlite.com,fast casual restaurant,Less than $750K
"Teleflora, LLC",www.teleflora.com,florist,Less than $750K
"Texas Pacific Group, Inc.",www.texaspacificgroup.com,private equity firm,Less than $750K
The Art of Shaving,www.theartofshaving.com,shaving products,Less than $750K
"The Buckle, Inc.",www.buckle.com,clothing ,Less than $750K
"The Clarks Companies, N.A.",www.clarksusa.com,shoes & accessories,Less than $750K
The Cockpit USA,www.cockpitusa.com,apparel & accessories,Less than $750K
The Collegiate Licensing Company,www.clc.com,collegiate trademark licensing,Less than $750K
The Dessy Group,www.dessy.com,formal wear manufacturer,Less than $750K
"The Echo Design Group, Inc.",www.echodesign.com,accessories,Less than $750K
The Great Atlantic & Pacific Tea Company,www.aptea.com,supermarket chain,Less than $750K
The Halston Company,www.halston.com,apparel/accessories,Less than $750K
The Judith Leiber Company,www.judithleiber.com,handbags & accessories,Less than $750K
The Life is good Company,www.lifeisgood.com,casual apparel,Less than $750K
"The Movado Group of Canada, Inc.",www.movadogroup.com,watches & timepieces,Less than $750K
"The Orvis Company, Inc.",www.orvis.com,upscale sports clothing & accessories,Less than $750K
The Snip-its Corporation,www.snipits.com,children's hair salons,Less than $750K
"The UPS Store, Inc.",www.theupsstore.com,parcel shipping & business services,Less than $750K
The Walking Company,www.thewalkingco.com,footwear,Less than $750K
"The Yankee Candle Company, Inc.",www.yankeecandle.com,specialty retailer,Less than $750K
The Yucaipa Companies LLC,www.yucaipaco.com,investment company,Less than $750K
"Theory, Inc.",www.theory.com/,women's & men's fashion apparel,Less than $750K
Thierry Mugler,mugler.com/int/en/,apparel & cosmetics,Less than $750K
Thorntons,www.thorntonsinc.com,gas & grocery stores,Less than $750K
"Ticketmaster Entertainment, Inc.",www.ticketmaster.com,"events, tickets",Less than $750K
"Tilly's, Inc.",www.tillys.com,apparel retailer,Less than $750K
Timbuk2,www.timbuk2.com/,specialty retailer,Less than $750K
"Toni & Guy USA, Inc.",www.toniguy.com/,hairdressing salons & training schools,Less than $750K
totes-Isotoner Corporation,www.totes.com,accessories,Less than $750K
Trans World Entertainment Corporation,www.twec.com,specialty retailers,Less than $750K
TravelCenters of America,www.tatravelcenters.com,truck stops,Less than $750K
"Treasure Island Foods, Inc.",www.tifoods.com,grocery store chain,Less than $750K
"True Religion Apparel, Inc.",www.truereligionbrandjeans.com,high end denim,Less than $750K
Tully's Coffee Corporation,www.tullys.com,"beverages, non-alcoholic",Less than $750K
"Tween Brands, Inc. ",www.limitedtoo.com,youth clothing & apparel,Less than $750K
"TYR Sport, Inc.",www.tyr.com,swim wear manufacturer,Less than $750K
"Ultra Stores, Inc.",www.ultradiamonds.com,fine jewelry,Less than $750K
"Unified Grocers, Inc.",www.uwgrocers.com,grocery products,Less than $750K
UNIONBAY Sportswear,www.unionbay.com,sportswear & jeans,Less than $750K
United Franchise Group,www.unitedfranchisegroup.com,personalized business services franchisors,Less than $750K
United Refining Company,www.urc.com,convenience stores,Less than $750K
"United Retail Group, Inc. ",www.avenue.com,women's plus-sized clothing,Less than $750K
"United Supermarkets, Ltd.",www.unitedtexas.com,supermarket chain,Less than $750K
UpSpring Ltd. Brands,www.upspringbaby.com,baby products,Less than $750K
Urban Retail Properties Company,www.urbanretail.com,real estate development,Less than $750K
Vallarta Supermarkets Inc,www.lesliespool.com,pool supply stores,Less than $750K
"ValueVision Media, Inc. ",www.valuevisionmedia.com ,home shopping TV,Less than $750K
"Van Cleef & Arpels, Inc.",www.vancleef-arpels.com,fine jewelry & watches,Less than $750K
"Vans, Inc.",www.vans.com,shoes,Less than $750K
"Varsity Brands, Inc.",www.varsity.com,sports & related equipment,Less than $750K
"Venus Swimwear, Inc.",www.venus.com,clothing,Less than $750K
"Vibram USA, Inc.",www.vibram.com,soling & footwear component manufacturer,Less than $750K
Vice,www.viceland.com,magazine publisher,Less than $750K
Victoria's Secret Beauty,www.victoriassecret.com,intimate apparel & fragrances,Less than $750K
"Victoria's Secret Direct, LLC",www.victoriassecret.com,intimate apparel & fragrances,Less than $750K
Village Super Market,www.shoprite.com,grocery retail,Less than $750K
Vineyard Vines,www.vineyardvines.com,clothing & apparel,Less than $750K
"Visible Changes, Inc.",www.visiblechanges.com,franchise hair salons,Less than $750K
"Wacoal America, Inc.",www.wacoal-america.com,intimate apparel,Less than $750K
"WalMart.com USA, LLC",www.walmart.com,online general merchandisers,Less than $750K
Warburg Pincus LLC,www.warburgpincus.com,private investment firm,Less than $750K
Warner Bros. Consumer Products,www.warnerbros.com,"movies, TV, stores, video",Less than $750K
Warrior Sports,www.warriorsports.com,athletic apparel,Less than $750K
Weatherproof Garment Company,www.weatherproofgarment.com,apparel,Less than $750K
Wells Lamont Corporation,www.wellslamont.com,gloves,Less than $750K
"Western Beef, Inc.",www.westernbeef.com,grocery store,Less than $750K
"Weyco Group, Inc.",www.weycogroup.com,men's footwear,Less than $750K
Wiley X,www.wileyx.com,sunglasses,Less than $750K
Wilsons Leather,www.wilsonsleather.com,leather apparel,Less than $750K
"WinCo Foods, Inc.",www.wincofoods.com,grocery stores,Less than $750K
"Woolrich, Inc.",www.woolrich.com,fabrics & clothing,Less than $750K
"XO Group, Inc.",www.theknot.com,wedding gifts & registry,Less than $750K
YM LLC USA,www.mandee.com,discount clothing retailer,Less than $750K
YMI Jeanswear Inc.,www.ymijeans.com,jeans,Less than $750K
Yogurtland,www.yogurt-land.com,frozen yogurt chain,Less than $750K
"Z Gallerie, Inc.",www.zgallerie.com,decorative furnishings & textiles,Less than $750K
"Zones, Inc. ",www.zones.com,technology products reseller,Less than $750K
"Zumiez, Inc.",www.zumiez.com,sports apparel and equipment,Less than $750K
